nombre_entidad,fecha_mes,tipo_de_persona,tipo_de_garantia,producto_de_credito,tipo_de_credito,plazo_de_credito,tasa_efectiva_promedio_ponderada
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,16.66333333333333
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,23.545
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,24.92
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Empresarial en pesos,Comercial ordinario,Más de 1 año y hasta 3 años,15.3105
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Empresarial en pesos,Comercial ordinario,Más de 3 años y hasta 5 años,14.541666666666668
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,19.4805
AV Villas,2025-03-31,Jurídica,Sin garantia,Comerciales con recursos provenientes de redescuento,Comercial ordinario,Más de 1 año y hasta 3 años,9.94
AV Villas,2025-03-31,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,Más de 1 año y hasta 3 años,12.776153846153846
AV Villas,2025-03-31,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,Más de 3 años y hasta 5 años,12.601666666666668
AV Villas,2025-03-31,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,Más de 30 días y hasta 1 año,12.266923076923076
AV Villas,2025-03-31,Jurídica,Sin garantia,Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,10.35
AV Villas,2025-03-31,Jurídica,Sin garantia,Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,13.656666666666668
AV Villas,2025-03-31,Jurídica,Sin garantia,Empresarial - Tesoreria,Comercial tesoreria,Hasta 30 días,12.18
AV Villas,2025-03-31,Jurídica,Sin garantia,Empresarial en pesos,Comercial ordinario,Más de 1 año y hasta 3 años,13.21375
AV Villas,2025-03-31,Jurídica,Sin garantia,Empresarial en pesos,Comercial ordinario,Más de 3 años y hasta 5 años,14.29
AV Villas,2025-03-31,Jurídica,Sin garantia,Empresarial en pesos,Comercial ordinario,Más de 30 días y hasta 1 año,11.31
AV Villas,2025-03-31,Jurídica,Sin garantia,Factoring,Comercial ordinario,Hasta 30 días,14.89378640776699
AV Villas,2025-03-31,Jurídica,Sin garantia,Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,15.315587044534412
AV Villas,2025-03-31,Jurídica,Sin garantia,Financiero e institucional,Comercial ordinario,Más de 30 días y hasta 1 año,10.0
AV Villas,2025-03-31,Jurídica,Sin garantia,Oficial o Gobierno,Comercial ordinario,Más de 1 año y hasta 3 años,12.46
AV Villas,2025-03-31,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos a un mes,0.0
AV Villas,2025-03-31,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 2 y 6 meses,24.87125
AV Villas,2025-03-31,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 25 y 36 meses,24.87
AV Villas,2025-03-31,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 7 y 12 meses,24.87
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 15 años y hasta 20 años,11.22108527131783
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 5 años y hasta 7 años,12.33125
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 7 años y hasta 15 años,11.258809523809523
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Vivienda hasta 5 años,11.7
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en uvr),Vivienda,Más de 15 años y hasta 20 años,7.427777777777778
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en uvr),Vivienda,Más de 7 años y hasta 15 años,7.2
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 15 años y hasta 20 años,11.042823529411764
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 5 años y hasta 7 años,11.1
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 7 años y hasta 15 años,10.921975308641976
AV Villas,2025-03-31,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Vivienda hasta 5 años,11.26
