Nombre_Tipo_Entidad,Tipo_de_persona,Tipo_de_crédito,Tipo_de_garantía,Producto de crédito,Plazo de crédito,Nombre_Entidad,by_month_fecha_corte,Tasa_efectiva_promedio_ponderada
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banco GNB Sudameris,02/01/2025 12:00:00 AM,13.775
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Bancolombia,02/01/2025 12:00:00 AM,21.268888888888889
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Bancolombia,03/01/2025 12:00:00 AM,19.215
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Bancolombia,04/01/2025 12:00:00 AM,19.276666666666667
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Bancolombia,05/01/2025 12:00:00 AM,21.268000000000001
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,11.55
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banco Serfinanza S.A.,05/01/2025 12:00:00 AM,18.490000000000002
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,BBVA Colombia,02/01/2025 12:00:00 AM,13.856666666666667
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,BBVA Colombia,04/01/2025 12:00:00 AM,16.850000000000001
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Scotiabank Colpatria S.A.,03/01/2025 12:00:00 AM,13.94
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banagrario,03/01/2025 12:00:00 AM,23.09
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banco GNB Sudameris,02/01/2025 12:00:00 AM,11
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banco GNB Sudameris,04/01/2025 12:00:00 AM,17.095
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Bancolombia,02/01/2025 12:00:00 AM,13.69
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Bancolombia,03/01/2025 12:00:00 AM,22.78
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Bancolombia,04/01/2025 12:00:00 AM,17.28
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Bancolombia,05/01/2025 12:00:00 AM,12.58
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,11.55
